ID,Label
0,butterfly
1,butterfly
2,butterfly
3,butterfly
4,fish
5,fish
6,butterfly
7,butterfly
8,fish
9,fish
10,butterfly
11,butterfly
12,butterfly
13,butterfly
14,fish
15,butterfly
16,butterfly
17,fish
18,butterfly
19,butterfly
20,butterfly
21,butterfly
22,butterfly
23,cow
24,butterfly
25,butterfly
26,butterfly
27,butterfly
28,butterfly
29,fish
30,butterfly
31,butterfly
32,butterfly
33,cow
34,butterfly
35,cow
36,butterfly
37,cat
38,butterfly
39,fish
40,butterfly
41,chicken
42,butterfly
43,spider
44,fish
45,chicken
46,fish
47,cow
48,butterfly
49,fish
50,fish
51,butterfly
52,butterfly
53,butterfly
54,butterfly
55,cow
56,cow
57,butterfly
58,cow
59,butterfly
60,dog
61,butterfly
62,cow
63,butterfly
64,cow
65,fish
66,butterfly
67,butterfly
68,butterfly
69,fish
70,fish
71,butterfly
72,butterfly
73,butterfly
74,butterfly
75,fish
76,fish
77,cow
78,butterfly
79,butterfly
80,butterfly
81,chicken
82,butterfly
83,fish
84,butterfly
85,butterfly
86,chicken
87,fish
88,butterfly
89,butterfly
90,cow
91,fish
92,butterfly
93,butterfly
94,butterfly
95,fish
96,fish
97,fish
98,butterfly
99,fish
100,butterfly
101,butterfly
102,fish
103,butterfly
104,butterfly
105,cow
106,butterfly
107,butterfly
108,cow
109,butterfly
110,fish
111,butterfly
112,fish
113,fish
114,spider
115,fish
116,butterfly
117,cow
118,fish
119,cow
120,butterfly
121,butterfly
122,butterfly
123,fish
124,fish
125,butterfly
126,fish
127,butterfly
128,butterfly
129,fish
130,butterfly
131,butterfly
132,cow
133,butterfly
134,butterfly
135,butterfly
136,cow
137,butterfly
138,fish
139,fish
140,cow
141,fish
142,fish
143,butterfly
144,cow
145,butterfly
146,butterfly
147,cow
148,butterfly
149,butterfly
150,spider
151,butterfly
152,fish
153,butterfly
154,dog
155,fish
156,butterfly
157,butterfly
158,fish
159,horse
160,cow
161,fish
162,butterfly
163,fish
164,butterfly
165,fish
166,fish
167,butterfly
168,butterfly
169,butterfly
170,butterfly
171,fish
172,fish
173,butterfly
174,butterfly
175,butterfly
176,butterfly
177,butterfly
178,fish
179,fish
180,butterfly
181,butterfly
182,cow
183,butterfly
184,butterfly
185,fish
186,butterfly
187,spider
188,chicken
189,butterfly
190,butterfly
191,butterfly
192,butterfly
193,butterfly
194,butterfly
195,butterfly
196,butterfly
197,fish
198,butterfly
199,butterfly
200,fish
201,butterfly
202,butterfly
203,butterfly
204,butterfly
205,butterfly
206,butterfly
207,fish
208,butterfly
209,butterfly
210,butterfly
211,fish
212,butterfly
213,butterfly
214,butterfly
215,cow
216,cow
217,butterfly
218,fish
219,butterfly
220,fish
221,fish
222,spider
223,dog
224,butterfly
225,fish
226,fish
227,fish
228,fish
229,fish
230,cow
231,butterfly
232,butterfly
233,butterfly
234,butterfly
235,butterfly
236,fish
237,spider
238,butterfly
239,fish
240,butterfly
241,fish
242,butterfly
243,fish
244,fish
245,butterfly
246,cow
247,butterfly
248,butterfly
249,butterfly
250,fish
251,chicken
252,fish
253,fish
254,chicken
255,butterfly
256,butterfly
257,fish
258,fish
259,butterfly
260,butterfly
261,cow
262,cow
263,butterfly
264,butterfly
265,fish
266,butterfly
267,fish
268,cow
269,fish
270,butterfly
271,butterfly
272,fish
273,butterfly
274,butterfly
275,cow
276,butterfly
277,cow
278,butterfly
279,fish
280,butterfly
281,butterfly
282,chicken
283,cow
284,fish
285,butterfly
286,butterfly
287,chicken
288,butterfly
289,fish
290,butterfly
291,butterfly
292,fish
293,butterfly
294,fish
295,butterfly
296,butterfly
297,butterfly
298,butterfly
299,butterfly
300,butterfly
301,fish
302,butterfly
303,fish
304,butterfly
305,butterfly
306,spider
307,fish
308,fish
309,butterfly
310,chicken
311,butterfly
312,butterfly
313,cow
314,butterfly
315,butterfly
316,butterfly
317,fish
318,cow
319,fish
320,butterfly
321,butterfly
322,butterfly
323,butterfly
324,butterfly
325,butterfly
326,fish
327,butterfly
328,butterfly
329,butterfly
330,fish
331,butterfly
332,butterfly
333,cow
334,fish
335,chicken
336,butterfly
337,butterfly
338,butterfly
339,cow
340,chicken
341,fish
342,chicken
